timestamp,updated,temperature,feels_like,wind_speed,humidity,pm25_french,pm25_eu,pm25_czech,pm25_yarmag
2025-09-30 00:18,"15:00, Нийслэл, Улаанбаатар",9,2,57,35,ERROR,39,36
2025-09-30 00:39,"15:00, Нийслэл, Улаанбаатар",9,2,57,35,ERROR,39,36
2025-09-30 01:15,"16:40, Нийслэл, Улаанбаатар",7,1,63,30,ERROR,36,47
2025-09-30 01:38,"17:30, Нийслэл, Улаанбаатар",7,1,63,30,ERROR,36,47
2025-09-30 02:24,"18:20, Нийслэл, Улаанбаатар",6,6,69,26,ERROR,37,47
2025-09-30 02:47,"18:40, Нийслэл, Улаанбаатар",6,1,68,26,ERROR,37,47
2025-09-30 03:14,"19:10, Нийслэл, Улаанбаатар",5,5,71,21,ERROR,24,47
2025-09-30 03:38,"19:30, Нийслэл, Улаанбаатар",6,1,68,21,ERROR,24,47
2025-09-30 04:18,"20:10, Нийслэл, Улаанбаатар",5,5,69,23,ERROR,29,47
2025-09-30 04:38,"20:10, Нийслэл, Улаанбаатар",5,5,69,23,ERROR,29,47
2025-09-30 05:16,"21:10, Нийслэл, Улаанбаатар",5,1,67,19,ERROR,24,47
2025-09-30 05:37,"21:10, Нийслэл, Улаанбаатар",5,1,67,19,ERROR,24,47
2025-09-30 06:15,"22:10, Нийслэл, Улаанбаатар",5,2,67,21,ERROR,27,47
2025-09-30 06:36,"22:20, Нийслэл, Улаанбаатар",5,1,68,21,ERROR,27,47
2025-10-06 19:50,"11:40, Нийслэл, Улаанбаатар",-1,4,68,14,ERROR,10,9
2025-10-06 20:28,"12:00, Нийслэл, Улаанбаатар",-1,-1,67,8.5,ERROR,7.7,6.8
2025-10-06 21:05,"13:00, Нийслэл, Улаанбаатар",-2,-2,67,8.5,ERROR,7.7,5.5
2025-10-06 21:13,"13:10, Нийслэл, Улаанбаатар",-2,-2,70,11,ERROR,7.7,5.5
2025-10-06 21:21,"13:20, Нийслэл, Улаанбаатар",-2,-2,71,11,ERROR,6.8,5.5
2025-10-06 21:29,"13:20, Нийслэл, Улаанбаатар",-2,-2,71,11,ERROR,6.8,5.5
2025-10-06 21:31,"13:20, Нийслэл, Улаанбаатар",-2,-4,71,11,ERROR,6.8,5.5
2025-10-06 21:33,"13:30, Нийслэл, Улаанбаатар",-2,-6,69,11,ERROR,6.8,5.5
2025-10-06 21:42,"13:40, Нийслэл, Улаанбаатар",-3,-3,1,69,11,ERROR,6.8,5.5
2025-10-06 21:51,"13:50, Нийслэл, Улаанбаатар",-2,-4,1,65,11,ERROR,6.8,5.5
2025-10-06 22:15,"14:10, Нийслэл, Улаанбаатар",-3,-5,1,66,9,ERROR,7,5.1
2025-10-06 22:36,"14:30, Нийслэл, Улаанбаатар",-3,-6,2,69,9,ERROR,7,5.1
2025-10-06 22:51,"14:40, Нийслэл, Улаанбаатар",-3,-3,1,69,9,ERROR,7,5.1
2025-10-06 23:16,"15:00, Нийслэл, Улаанбаатар",-3,-7,3,69,5,ERROR,5.5,5.1
2025-10-06 23:32,"15:30, Нийслэл, Улаанбаатар",-3,-8,4,70,5,ERROR,5.5,5.1
2025-10-06 23:51,"15:30, Нийслэл, Улаанбаатар",-3,-8,4,70,5,ERROR,5.5,5.1
2025-10-07 00:18,"16:10, Нийслэл, Улаанбаатар",-3,-7,2,68,7,ERROR,4,5.1
2025-10-07 00:46,"16:40, Нийслэл, Улаанбаатар",-4,-7,2,69,7,ERROR,4,5.1
2025-10-07 00:54,"16:50, Нийслэл, Улаанбаатар",-4,-8,2,71,7,ERROR,4,5.1
2025-10-07 01:15,"17:10, Нийслэл, Улаанбаатар",-4,-8,3,72,3,ERROR,3,5.1
2025-10-07 01:32,"17:30, Нийслэл, Улаанбаатар",-4,-4,0,72,3,ERROR,3,5.1
2025-10-07 01:42,"17:40, Нийслэл, Улаанбаатар",-4,-6,1,70,3,ERROR,3,5.1
2025-10-07 01:50,"17:40, Нийслэл, Улаанбаатар",-4,-6,1,70,3,ERROR,3,5.1
2025-10-07 02:22,"18:20, Нийслэл, Улаанбаатар",-4,-6,1,70,3,ERROR,3,5.1
2025-10-07 02:46,"18:40, Нийслэл, Улаанбаатар",-4,-4,1,67,3,ERROR,3,5.1
2025-10-07 03:11,"19:10, Нийслэл, Улаанбаатар",-4,-4,1,67,2,ERROR,3,5.1
2025-10-07 03:26,"19:20, Нийслэл, Улаанбаатар",-4,-7,2,64,2,ERROR,2,5.1
2025-10-07 03:37,"19:30, Нийслэл, Улаанбаатар",-4,-4,0,68,2,ERROR,2,5.1
2025-10-07 03:50,"19:40, Нийслэл, Улаанбаатар",-4,-7,2,69,2,ERROR,2,5.1
2025-10-07 04:16,"20:00, Нийслэл, Улаанбаатар",-4,-4,0,69,2,ERROR,2,5.1
2025-10-07 04:34,"20:30, Нийслэл, Улаанбаатар",-4,-4,1,70,2,ERROR,2,5.1
